Gene	Class
SRCAP	ASD_SC
SRPRA	ASD_SC
SYN1	ASD_SC
TBL1XR1	ASD_SC
TBR1	ASD_SC
TCF7L2	ASD_SC
TEK	ASD_SC
TM9SF4	ASD_SC
TRIM23	ASD_SC
TRIO	ASD_SC
TSHZ3	ASD_SC
VEZF1	ASD_SC
WDFY3	ASD_SC
UBR1	ASD_SC
ZMYND8	ASD_SC
