Gene	Cluster
Tram1	Cluster_1
Lactb2	Cluster_1
Ogfrl1	Cluster_1
Col19a1	Cluster_1
Arhgef4	Cluster_1
Kansl3	Cluster_1
Actr1b	Cluster_1
Lonrf2	Cluster_1
Creg2	Cluster_1
Mrps9	Cluster_1
Tgfbrap1	Cluster_1
Fhl2	Cluster_1
Ercc5	Cluster_1
Myo1b	Cluster_1
Mfsd6	Cluster_1
Gtf3c3	Cluster_1
Coq10b	Cluster_1
Ndufb3	Cluster_1
Trak2	Cluster_1
Tmem237	Cluster_1
Ica1l	Cluster_1
Wdr12	Cluster_1
Carf	Cluster_1
Nrp2	Cluster_1
Ikzf2	Cluster_1
Vwc2l	Cluster_1
Tmem169	Cluster_1
Rpl37a	Cluster_1
Speg	Cluster_1
Inha	Cluster_1
Itm2c	Cluster_1
Ngef	Cluster_1
Cops8	Cluster_1
Ramp1	Cluster_1
Ilkap	Cluster_1
Ppp1r7	Cluster_1
Stk25	Cluster_1
Dtymk	Cluster_1
D1Ertd622e	Cluster_1
Gin1	Cluster_1
Pign	Cluster_1
Kdsr	Cluster_1
Cdh7	Cluster_1
Tsn	Cluster_1
Insig2	Cluster_1
Ccdc93	Cluster_1
Lypd1	Cluster_1
Dars	Cluster_1
Eif2d	Cluster_1
Nucks1	Cluster_1
Mfsd4a	Cluster_1
Etnk2	Cluster_1
Gm38394	Cluster_1
Klhl12	Cluster_1
Arl8a	Cluster_1
Rnpep	Cluster_1
Ipo9	Cluster_1
Kif21b	Cluster_1
B3galt2	Cluster_1
Glrx2	Cluster_1
Odr4	Cluster_1
Trmt1l	Cluster_1
Rnf2	Cluster_1
Tsen15	Cluster_1
Apobec4	Cluster_1
Arpc5	Cluster_1
Lamc1	Cluster_1
Mrps14	Cluster_1
Ankrd45	Cluster_1
Mpc2	Cluster_1
Adcy10	Cluster_1
Fam78b	Cluster_1
Dusp12	Cluster_1
Nit1	Cluster_1
Pea15a	Cluster_1
Kcnj9	Cluster_1
Cadm3	Cluster_1
Zbtb18	Cluster_1
Adss	Cluster_1
Kif26b	Cluster_1
Stum	Cluster_1
Acbd3	Cluster_1
H3f3a	Cluster_1
Srp9	Cluster_1
