Gene	Cluster
ACTL6A	Cluster_1
ACTL6B	Cluster_1
ACTR10	Cluster_1
ACTR1A	Cluster_1
ACTR1B	Cluster_1
ACTR8	Cluster_1
ACVR1B	Cluster_1
ACVR1C	Cluster_1
ADAM11	Cluster_1
ADAMTS16	Cluster_1
ADAMTS17	Cluster_1
ADAMTS18	Cluster_1
ADAMTS3	Cluster_1
ADCK1	Cluster_1
ADCY10	Cluster_1
ADCY3	Cluster_1
ADCYAP1R1	Cluster_1
ADIPOR2	Cluster_1
ADRB1	Cluster_1
ADSS2	Cluster_1
AEBP2	Cluster_1
AFG3L2	Cluster_1
AGAP2	Cluster_1
AGFG2	Cluster_1
AGL	Cluster_1
AIFM1	Cluster_1
AIMP1	Cluster_1
AJAP1	Cluster_1
AKAP5	Cluster_1
AKIRIN2	Cluster_1
ALDH7A1	Cluster_1
ALKBH8	Cluster_1
ALMS1	Cluster_1
AMER2	Cluster_1
AMMECR1	Cluster_1
ANGPT1	Cluster_1
ANGPTL2	Cluster_1
ANKRA2	Cluster_1
ANKRD13B	Cluster_1
ANKRD13D	Cluster_1
ANKRD24	Cluster_1
ANKRD42	Cluster_1
ANKRD45	Cluster_1
ANKRD6	Cluster_1
ANKS3	Cluster_1
ANO10	Cluster_1
ANP32D	Cluster_1
ANP32A	Cluster_1
ANXA11	Cluster_1
AP1B1	Cluster_1
AP2A1	Cluster_1
AP3B2	Cluster_1
AP3D1	Cluster_1
AP4S1	Cluster_1
APBB1	Cluster_1
APOBEC4	Cluster_1
APOO	Cluster_1
AQR	Cluster_1
AR	Cluster_1
AREL1	Cluster_1
ARF3	Cluster_1
ARF5	Cluster_1
ARFGAP1	Cluster_1
ARHGAP31	Cluster_1
ARHGAP33	Cluster_1
ARHGEF3	Cluster_1
ARL13B	Cluster_1
ARL4A	Cluster_1
ARL5A	Cluster_1
ARL5B	Cluster_1
ARL6IP5	Cluster_1
ARL8A	Cluster_1
ARL8B	Cluster_1
ARMC2	Cluster_1
ARMCX1	Cluster_1
ARPC1A	Cluster_1
ARPC3	Cluster_1
ARPC5	Cluster_1
ARPC5L	Cluster_1
ARSJ	Cluster_1
ASB13	Cluster_1
ASCC2	Cluster_1
ASTE1	Cluster_1
ATAD3A	Cluster_1
ATF1	Cluster_1
ATG12	Cluster_1
ATG13	Cluster_1
ATG16L2	Cluster_1
ATG2A	Cluster_1
ATG5	Cluster_1
ATG7	Cluster_1
ATL2	Cluster_1
ATM	Cluster_1
ATP11A	Cluster_1
ATP2B3	Cluster_1
ATP5PD	Cluster_1
ATP5MF	Cluster_1
ATP6AP1	Cluster_1
ATP6V0E1	Cluster_1
ATP6V1C1	Cluster_1
ATP6V1D	Cluster_1
ATP6V1E1	Cluster_1
ATP6V1G2-DDX39B	Cluster_1
ATPAF1	Cluster_1
ATRAID	Cluster_1
ATXN3	Cluster_1
ATXN3L	Cluster_1
AUH	Cluster_1
AXIN1	Cluster_1
AZI2	Cluster_1
AZIN1	Cluster_1
B3GALNT2	Cluster_1
B3GALT2	Cluster_1
B4GALNT4	Cluster_1
B4GALT5	Cluster_1
B4GALT6	Cluster_1
BACE1	Cluster_1
BBS7	Cluster_1
C16orf91	Cluster_1
BCAP29	Cluster_1
BCAS2	Cluster_1
BCL2L13	Cluster_1
BCL7A	Cluster_1
BCLAF3	Cluster_1
BCR	Cluster_1
BDNF	Cluster_1
BECN1	Cluster_1
BEX3	Cluster_1
BHLHB9	Cluster_1
BHLHE40	Cluster_1
BICC1	Cluster_1
BLCAP	Cluster_1
BLOC1S2	Cluster_1
BORCS5	Cluster_1
BRDT	Cluster_1
BRI3	Cluster_1
BRK1	Cluster_1
BRMS1L	Cluster_1
BRWD3	Cluster_1
BSCL2	Cluster_1
BTBD3	Cluster_1
BTF3L4	Cluster_1
BZW2	Cluster_1
C1GALT1	Cluster_1
C2CD2	Cluster_1
C2CD3	Cluster_1
CACNB3	Cluster_1
CACNG8	Cluster_1
CADM3	Cluster_1
CALB1	Cluster_1
CALCOCO1	Cluster_1
CALY	Cluster_1
CAMKK1	Cluster_1
CAMSAP1	Cluster_1
CAMTA2	Cluster_1
CAPN7	Cluster_1
CAPZB	Cluster_1
CA11	Cluster_1
CA4	Cluster_1
CARF	Cluster_1
CARNMT1	Cluster_1
CBARP	Cluster_1
CBFB	Cluster_1
CBWD5	Cluster_1
CBWD3	Cluster_1
CBWD6	Cluster_1
CBX1	Cluster_1
CBX6	Cluster_1
CC2D2A	Cluster_1
CCBE1	Cluster_1
CCDC107	Cluster_1
CCDC112	Cluster_1
CCDC12	Cluster_1
CCDC127	Cluster_1
CCDC136	Cluster_1
CCDC149	Cluster_1
CCDC171	Cluster_1
CCDC174	Cluster_1
CCDC191	Cluster_1
CCDC28A	Cluster_1
CCDC3	Cluster_1
CCDC34	Cluster_1
CCDC39	Cluster_1
CCDC57	Cluster_1
CCDC6	Cluster_1
CCDC66	Cluster_1
CCDC88C	Cluster_1
CCDC93	Cluster_1
CCK	Cluster_1
CCKBR	Cluster_1
CCN3	Cluster_1
CCND2	Cluster_1
CCNI	Cluster_1
CCSAP	Cluster_1
CCZ1B	Cluster_1
CCZ1	Cluster_1
CD200	Cluster_1
CDC123	Cluster_1
CDC23	Cluster_1
CDC42EP3	Cluster_1
CDC7	Cluster_1
CDH22	Cluster_1
CDH6	Cluster_1
CDH7	Cluster_1
CDK5R1	Cluster_1
CDK7	Cluster_1
CDK9	Cluster_1
CDKL1	Cluster_1
CDKL2	Cluster_1
CDKL3	Cluster_1
CDKN2AIP	Cluster_1
CDON	Cluster_1
CDS1	Cluster_1
CELSR3	Cluster_1
CEMIP	Cluster_1
CENPP	Cluster_1
CEP120	Cluster_1
CEP126	Cluster_1
CEP162	Cluster_1
CEP164	Cluster_1
CEP19	Cluster_1
CEP68	Cluster_1
CEP89	Cluster_1
CEP95	Cluster_1
CFAP20	Cluster_1
CFAP300	Cluster_1
CFAP54	Cluster_1
CFAP69	Cluster_1
CFAP74	Cluster_1
CFAP97	Cluster_1
CHAC2	Cluster_1
CHGB	Cluster_1
CHID1	Cluster_1
CHMP3	Cluster_1
RNF103-CHMP3	Cluster_1
CHRD	Cluster_1
CHRM1	Cluster_1
CHST1	Cluster_1
CHST9	Cluster_1
CHTOP	Cluster_1
CKMT1A	Cluster_1
CKMT1B	Cluster_1
CLASRP	Cluster_1
CLCN4	Cluster_1
CLEC18A	Cluster_1
CLEC18C	Cluster_1
CLEC18B	Cluster_1
CLIP4	Cluster_1
CLPB	Cluster_1
CLPTM1	Cluster_1
CLPX	Cluster_1
CLTB	Cluster_1
