Gene	Cell
Ndufs5	Exc_L6_Foxp2
Nnat	Exc_L6_Foxp2
Pcsk1n	Exc_L6_Foxp2
Pde4d	Exc_L6_Foxp2
Pdia6	Exc_L6_Foxp2
Pfkp	Exc_L6_Foxp2
Pisd	Exc_L6_Foxp2
Pnmal2	Exc_L6_Foxp2
Ptprt	Exc_L6_Foxp2
Pura	Exc_L6_Foxp2
Rasgrf1	Exc_L6_Foxp2
Rasl10a	Exc_L6_Foxp2
Rpl18a	Exc_L6_Foxp2
Rpl26	Exc_L6_Foxp2
Rpl27	Exc_L6_Foxp2
Rps16	Exc_L6_Foxp2
Rps20	Exc_L6_Foxp2
Rps3a1	Exc_L6_Foxp2
Saraf	Exc_L6_Foxp2
Serinc1	Exc_L6_Foxp2
Slc25a4	Exc_L6_Foxp2
Slc50a1	Exc_L6_Foxp2
Sorcs3	Exc_L6_Foxp2
Tenm2	Exc_L6_Foxp2
Tmx2	Exc_L6_Foxp2
Tomm20	Exc_L6_Foxp2
Trhde	Exc_L6_Foxp2
Vwc2	Exc_L6_Foxp2
Ywhah	Exc_L6_Foxp2
Zfp804b	Exc_L6_Foxp2
Actb	Exc_L2_Cux2
Actg1	Exc_L2_Cux2
Astn2	Exc_L2_Cux2
Atp5b	Exc_L2_Cux2
Atp5g1	Exc_L2_Cux2
Atp6v0c	Exc_L2_Cux2
B230219D22Rik	Exc_L2_Cux2
Brinp3	Exc_L2_Cux2
Cacna2d3	Exc_L2_Cux2
Chgb	Exc_L2_Cux2
Ckb	Exc_L2_Cux2
Cox5a	Exc_L2_Cux2
Dcc	Exc_L2_Cux2
Erp29	Exc_L2_Cux2
Fgfr2	Exc_L2_Cux2
Frrs1l	Exc_L2_Cux2
Gria1	Exc_L2_Cux2
Grik1	Exc_L2_Cux2
H3f3b	Exc_L2_Cux2
Hint1	Exc_L2_Cux2
Hs6st3	Exc_L2_Cux2
Icam5	Exc_L2_Cux2
Kirrel3	Exc_L2_Cux2
Ly6h	Exc_L2_Cux2
Mctp1	Exc_L2_Cux2
Meis2	Exc_L2_Cux2
Ndufb10	Exc_L2_Cux2
Nfib	Exc_L2_Cux2
Nmt1	Exc_L2_Cux2
Nxph1	Exc_L2_Cux2
Pak6	Exc_L2_Cux2
Pomp	Exc_L2_Cux2
Ptchd4	Exc_L2_Cux2
Ptma	Exc_L2_Cux2
Rer1	Exc_L2_Cux2
Rpl15	Exc_L2_Cux2
Rpl21	Exc_L2_Cux2
Rpl34	Exc_L2_Cux2
Selenof	Exc_L2_Cux2
Selenok	Exc_L2_Cux2
Sgcd	Exc_L2_Cux2
Shtn1	Exc_L2_Cux2
Slc24a2	Exc_L2_Cux2
Slc25a4	Exc_L2_Cux2
Smoc2	Exc_L2_Cux2
Snrpn	Exc_L2_Cux2
Son	Exc_L2_Cux2
Sox6	Exc_L2_Cux2
Stmn3	Exc_L2_Cux2
Vgf	Exc_L2_Cux2
0610010F05Rik	Micro_C1qc
0610012G03Rik	Micro_C1qc
1110059G10Rik	Micro_C1qc
2310009B15Rik	Micro_C1qc
4930402H24Rik	Micro_C1qc
A430005L14Rik	Micro_C1qc
Aasdhppt	Micro_C1qc
Abcb10	Micro_C1qc
Ablim1	Micro_C1qc
Actb	Micro_C1qc
Actr10	Micro_C1qc
Actr1b	Micro_C1qc
Acvr1b	Micro_C1qc
Acvr2a	Micro_C1qc
Acyp2	Micro_C1qc
Adrm1	Micro_C1qc
Aff1	Micro_C1qc
Agpat3	Micro_C1qc
Ahcyl2	Micro_C1qc
Ahsa1	Micro_C1qc
Aimp2	Micro_C1qc
Aip	Micro_C1qc
Alg10b	Micro_C1qc
Alkbh5	Micro_C1qc
Ank1	Micro_C1qc
Ankrd12	Micro_C1qc
Ankrd24	Micro_C1qc
Ankrd54	Micro_C1qc
Anxa7	Micro_C1qc
Ap1s1	Micro_C1qc
