Gene	Cell
ETV1	Exc_L3_Calb1
FGFR2	Exc_L3_Calb1
GRIK4	Exc_L3_Calb1
IDE	Exc_L3_Calb1
KCNK1	Exc_L3_Calb1
KCNK2	Exc_L3_Calb1
NCALD	Exc_L3_Calb1
NDUFB10	Exc_L3_Calb1
OPRM1	Exc_L3_Calb1
PDIA3	Exc_L3_Calb1
PDIA6	Exc_L3_Calb1
PDZRN3	Exc_L3_Calb1
PISD	Exc_L3_Calb1
PKM	Exc_L3_Calb1
RPL34	Exc_L3_Calb1
RPS19	Exc_L3_Calb1
RPS24	Exc_L3_Calb1
RPS8	Exc_L3_Calb1
SGCD	Exc_L3_Calb1
SPARCL1	Exc_L3_Calb1
SRSF2	Exc_L3_Calb1
STMN3	Exc_L3_Calb1
TRPM3	Exc_L3_Calb1
UNC50	Exc_L3_Calb1
ZBTB20	Exc_L3_Calb1
ACTB	Exc_L5_Il1rapl2
ACTG1	Exc_L5_Il1rapl2
ANGPT1	Exc_L5_Il1rapl2
ATP6V0C	Exc_L5_Il1rapl2
BTAF1	Exc_L5_Il1rapl2
CALM3	Exc_L5_Il1rapl2
CCK	Exc_L5_Il1rapl2
CDH13	Exc_L5_Il1rapl2
CFL1	Exc_L5_Il1rapl2
CHRM3	Exc_L5_Il1rapl2
CKB	Exc_L5_Il1rapl2
COX5A	Exc_L5_Il1rapl2
COX6B1	Exc_L5_Il1rapl2
COX6C	Exc_L5_Il1rapl2
COX8A	Exc_L5_Il1rapl2
CTNNA3	Exc_L5_Il1rapl2
DCC	Exc_L5_Il1rapl2
EPHA6	Exc_L5_Il1rapl2
FGFR2	Exc_L5_Il1rapl2
GPC5	Exc_L5_Il1rapl2
N4BP2L2	Exc_L5_Il1rapl2
NDUFA8	Exc_L5_Il1rapl2
NDUFB10	Exc_L5_Il1rapl2
PDIA3	Exc_L5_Il1rapl2
PDIA6	Exc_L5_Il1rapl2
PISD	Exc_L5_Il1rapl2
PTN	Exc_L5_Il1rapl2
RER1	Exc_L5_Il1rapl2
RPL34	Exc_L5_Il1rapl2
SCD	Exc_L5_Il1rapl2
SELENOK	Exc_L5_Il1rapl2
SERINC1	Exc_L5_Il1rapl2
SLC25A4	Exc_L5_Il1rapl2
SRSF2	Exc_L5_Il1rapl2
TOMM20	Exc_L5_Il1rapl2
VGF	Exc_L5_Il1rapl2
ZNF804B	Exc_L5_Il1rapl2
ACTG1	Exc_L6_Foxp2
ADARB2	Exc_L6_Foxp2
ATP1B1	Exc_L6_Foxp2
ATP2C1	Exc_L6_Foxp2
ATP5PD	Exc_L6_Foxp2
CADPS2	Exc_L6_Foxp2
CALM3	Exc_L6_Foxp2
CDH10	Exc_L6_Foxp2
CDH13	Exc_L6_Foxp2
CDH4	Exc_L6_Foxp2
CFL1	Exc_L6_Foxp2
CMSS1	Exc_L6_Foxp2
CNTN3	Exc_L6_Foxp2
CNTNAP3B	Exc_L6_Foxp2
CNTNAP3	Exc_L6_Foxp2
CNTNAP3C	Exc_L6_Foxp2
COL12A1	Exc_L6_Foxp2
